Time,ABfactor
0,0
0.01,0.00992143
0.02,0.0197451
0.03,0.0294721
0.04,0.0391032
0.05,0.0486394
0.06,0.0580817
0.07,0.0674309
0.08,0.0766881
0.09,0.085854
0.1,0.0949297
0.11,0.103916
0.12,0.112814
0.13,0.121624
0.14,0.130347
0.15,0.138984
0.16,0.147537
0.17,0.156005
0.18,0.164389
0.19,0.172691
0.2,0.180912
0.21,0.189051
0.22,0.19711
0.23,0.20509
0.24,0.212991
0.25,0.220814
0.26,0.22856
0.27,0.23623
0.28,0.243824
0.29,0.251344
0.3,0.258789
0.31,0.266161
0.32,0.273461
0.33,0.280688
0.34,0.287844
0.35,0.29493
0.36,0.301946
0.37,0.308893
0.38,0.315772
0.39,0.322582
0.4,0.329326
0.41,0.336003
0.42,0.342615
0.43,0.349161
0.44,0.355643
0.45,0.362061
0.46,0.368415
0.47,0.374708
0.48,0.380938
0.49,0.387106
0.5,0.393214
0.51,0.399262
0.52,0.40525
0.53,0.41118
0.54,0.417051
0.55,0.422864
0.56,0.428619
0.57,0.434318
0.58,0.439961
0.59,0.445549
0.6,0.451081
0.61,0.456559
0.62,0.461982
0.63,0.467353
0.64,0.47267
0.65,0.477935
0.66,0.483149
0.67,0.48831
0.68,0.493421
0.69,0.498482
0.7,0.503493
0.71,0.508454
0.72,0.513367
0.73,0.518231
0.74,0.523047
0.75,0.527816
0.76,0.532538
0.77,0.537213
0.78,0.541843
0.79,0.546426
0.8,0.550965
0.81,0.555458
0.82,0.559908
0.83,0.564314
0.84,0.568676
0.85,0.572995
0.86,0.577272
0.87,0.581507
0.88,0.5857
0.89,0.589851
0.9,0.593962
0.91,0.598032
0.92,0.602062
0.93,0.606053
0.94,0.610004
0.95,0.613916
0.96,0.61779
0.97,0.621625
0.98,0.625423
0.99,0.629183
1,0.632906
1.01,0.636593
1.02,0.640243
1.03,0.643858
1.04,0.647436
1.05,0.65098
1.06,0.654488
1.07,0.657962
1.08,0.661402
1.09,0.664808
1.1,0.66818
1.11,0.671519
1.12,0.674825
1.13,0.678099
1.14,0.68134
1.15,0.68455
1.16,0.687728
1.17,0.690874
1.18,0.69399
1.19,0.697075
1.2,0.700129
1.21,0.703153
1.22,0.706148
1.23,0.709113
1.24,0.712049
1.25,0.714956
1.26,0.717834
1.27,0.720684
1.28,0.723506
1.29,0.7263
1.3,0.729066
1.31,0.731806
1.32,0.734518
1.33,0.737204
1.34,0.739863
1.35,0.742496
1.36,0.745103
1.37,0.747684
1.38,0.75024
1.39,0.752771
1.4,0.755276
1.41,0.757757
1.42,0.760214
1.43,0.762647
1.44,0.765055
1.45,0.76744
1.46,0.769801
1.47,0.772139
1.48,0.774454
1.49,0.776746
1.5,0.779016
1.51,0.781263
1.52,0.783488
1.53,0.785691
1.54,0.787873
1.55,0.790033
1.56,0.792171
1.57,0.794289
1.58,0.796386
1.59,0.798462
1.6,0.800518
1.61,0.802553
1.62,0.804568
1.63,0.806564
1.64,0.80854
1.65,0.810496
1.66,0.812433
1.67,0.814351
1.68,0.81625
1.69,0.818131
1.7,0.819993
1.71,0.821836
1.72,0.823662
1.73,0.825469
1.74,0.827259
1.75,0.829031
1.76,0.830785
1.77,0.832522
1.78,0.834242
1.79,0.835946
1.8,0.837632
1.81,0.839302
1.82,0.840955
1.83,0.842592
1.84,0.844213
1.85,0.845818
1.86,0.847407
1.87,0.848981
1.88,0.850539
1.89,0.852081
1.9,0.853609
1.91,0.855121
1.92,0.856619
1.93,0.858102
1.94,0.85957
1.95,0.861023
1.96,0.862463
1.97,0.863888
1.98,0.865299
1.99,0.866696
2,0.86808
2.01,0.86945
2.02,0.870806
2.03,0.872149
2.04,0.873479
2.05,0.874795
2.06,0.876099
2.07,0.87739
2.08,0.878668
2.09,0.879934
2.1,0.881187
2.11,0.882427
2.12,0.883656
2.13,0.884872
2.14,0.886077
2.15,0.887269
2.16,0.88845
2.17,0.889619
2.18,0.890777
2.19,0.891923
2.2,0.893058
2.21,0.894182
2.22,0.895295
2.23,0.896396
2.24,0.897487
2.25,0.898567
2.26,0.899637
2.27,0.900696
2.28,0.901744
2.29,0.902783
2.3,0.903811
2.31,0.904828
2.32,0.905836
2.33,0.906834
2.34,0.907822
2.35,0.908801
2.36,0.909769
2.37,0.910728
2.38,0.911678
2.39,0.912618
2.4,0.91355
2.41,0.914471
2.42,0.915384
2.43,0.916288
2.44,0.917183
2.45,0.918069
2.46,0.918947
2.47,0.919815
2.48,0.920675
2.49,0.921527
2.5,0.922371
2.51,0.923206
