time,total_AbsAbun,Shannon,BrayCurtis,BrayCurtis_delta_t,kld,jsd
0,46.8487,1.59272,0,0,-8.65621e-12,-8.65621e-12
0.1,46.1425,1.60018,0.00759482,0.000958731,2.5472e-05,6.36183e-06
0.2,45.2022,1.59885,0.0178867,0.00107844,1.77318e-05,4.44143e-06
0.3,44.2,1.58965,0.0290913,0.00114996,5.04101e-05,1.26717e-05
0.4,43.1754,1.57465,0.0408038,0.00118684,0.000101344,2.54982e-05
0.5,42.1559,1.55524,0.0527252,0.00119792,0.000154459,3.88839e-05
0.6,41.1605,1.53247,0.0646315,0.00118967,0.000203002,5.11307e-05
0.7,40.2019,1.50714,0.0763552,0.00116705,0.000243958,6.1477e-05
0.8,39.2882,1.47991,0.0877732,0.0011339,0.00027621,6.96364e-05
0.9,38.424,1.45132,0.0987971,0.0010933,0.000299754,7.5603e-05
1,37.6116,1.42181,0.109367,0.00104765,0.000315235,7.95355e-05
1.1,36.8513,1.39176,0.119443,0.00099885,0.000323636,8.16792e-05
1.2,36.1425,1.36148,0.129005,0.000948378,0.000326071,8.23135e-05
1.3,35.4833,1.33124,0.138044,0.000897377,0.000323652,8.17182e-05
1.4,34.8716,1.30123,0.146562,0.000846717,0.000317412,8.01543e-05
1.5,34.3049,1.27165,0.154569,0.000797046,0.000308269,7.78534e-05
1.6,33.7803,1.24262,0.16208,0.000748835,0.000297008,7.50146e-05
1.7,33.2953,1.21426,0.169113,0.000702416,0.000284286,7.18041e-05
1.8,32.847,1.18665,0.17569,0.000658012,0.000270637,6.83575e-05
1.9,32.4327,1.15986,0.181833,0.000615758,0.000256489,6.47835e-05
2,32.05,1.13393,0.187566,0.000575724,0.000242178,6.11674e-05
2.1,31.6964,1.10889,0.192913,0.000537927,0.000227962,5.75744e-05
2.2,31.3696,1.08476,0.197897,0.000502349,0.000214033,5.40538e-05
2.3,31.0675,1.06154,0.202541,0.000468941,0.000200533,5.06413e-05
2.4,30.7882,1.03924,0.206867,0.000437634,0.00018756,4.7362e-05
2.5,30.5298,1.01785,0.210897,0.000408347,0.00017518,4.42326e-05
2.6,30.2907,0.99734,0.21465,0.000380986,0.000163431,4.1263e-05
2.7,30.0693,0.977706,0.218147,0.000355456,0.000152334,3.84581e-05
2.8,29.8642,0.958923,0.221404,0.000331656,0.000141891,3.58187e-05
2.9,29.6741,0.940965,0.224438,0.000309485,0.000132094,3.3343e-05
3,29.4977,0.923806,0.227266,0.000288844,0.000122928,3.10269e-05
3.1,29.3341,0.907419,0.229903,0.000269637,0.00011437,2.88646e-05
3.2,29.1821,0.891776,0.232361,0.00025177,0.000106395,2.68497e-05
3.3,29.0409,0.876848,0.234654,0.000235154,9.89724e-05,2.49747e-05
3.4,28.9096,0.862606,0.236794,0.000219703,9.20734e-05,2.3232e-05
3.5,28.7875,0.849021,0.238791,0.000205336,8.56668e-05,2.16139e-05
3.6,28.6737,0.836066,0.240656,0.000191977,7.97221e-05,2.01127e-05
3.7,28.5678,0.823713,0.242399,0.000179555,7.42093e-05,1.87206e-05
3.8,28.4691,0.811935,0.244028,0.000168003,6.90993e-05,1.74303e-05
3.9,28.377,0.800707,0.245551,0.000157257,6.43641e-05,1.62348e-05
4,28.291,0.790002,0.246976,0.000147259,5.99772e-05,1.51274e-05
4.1,28.2107,0.779796,0.24831,0.000137954,5.59133e-05,1.41016e-05
4.2,28.1357,0.770066,0.249559,0.000129292,5.21488e-05,1.31514e-05
4.3,28.0655,0.76079,0.250729,0.000121226,4.86613e-05,1.22712e-05
4.4,27.9999,0.751945,0.251826,0.000113712,4.543e-05,1.14558e-05
4.5,27.9385,0.743512,0.252854,0.00010671,4.24354e-05,1.07001e-05
4.6,27.8809,0.73547,0.253818,0.000100182,3.96596e-05,9.9997e-06
4.7,27.827,0.727801,0.254724,9.40929e-05,3.70857e-05,9.3503e-06
4.8,27.7765,0.720486,0.255574,8.84117e-05,3.46982e-05,8.74797e-06
4.9,27.729,0.713509,0.256373,8.31084e-05,3.24827e-05,8.18907e-06
5,27.6845,0.706853,0.257123,7.81555e-05,3.0426e-05,7.67026e-06
5.1,27.7803,0.699001,0.25551,0.000336343,3.64429e-05,9.18425e-06
5.2,27.914,0.692547,0.253263,0.000316955,3.1082e-05,7.83304e-06
5.3,28.0539,0.687405,0.250924,0.000305033,2.49517e-05,6.28795e-06
5.4,28.1983,0.683345,0.248516,0.000306044,2.03256e-05,5.12174e-06
5.5,28.3467,0.680249,0.246052,0.00030648,1.70249e-05,4.28899e-06
5.6,28.4985,0.678029,0.243542,0.000306542,1.48213e-05,3.732e-06
5.7,28.6533,0.676612,0.240993,0.000306317,1.35047e-05,3.39782e-06
5.8,28.8107,0.67593,0.23841,0.000305854,1.28973e-05,3.24167e-06
5.9,28.9706,0.675924,0.2358,0.000305186,1.28506e-05,3.22619e-06
6,29.1326,0.676539,0.233165,0.000304366,1.32403e-05,3.32016e-06
6.1,29.2965,0.677724,0.230511,0.000303505,1.39618e-05,3.49734e-06
6.2,29.4621,0.679432,0.22784,0.00030248,1.49268e-05,3.73556e-06
6.3,29.6292,0.681617,0.225157,0.000301297,1.60603e-05,4.01608e-06
6.4,29.7976,0.684239,0.222464,0.000299957,1.72993e-05,4.3231e-06
6.5,29.9672,0.687259,0.219765,0.00029846,1.8591e-05,4.6434e-06
6.6,30.1378,0.69064,0.217062,0.000296801,1.98919e-05,4.96609e-06
6.7,30.3093,0.694348,0.214358,0.000294976,2.11673e-05,5.28248e-06
6.8,30.4813,0.698351,0.211656,0.000292981,2.23907e-05,5.58591e-06
6.9,30.6539,0.702618,0.208959,0.00029081,2.35437e-05,5.87175e-06
7,30.8268,0.707122,0.206268,0.000288462,2.4616e-05,6.13734e-06
7.1,30.9998,0.711839,0.203586,0.000285933,2.56054e-05,6.38204e-06
7.2,31.1729,0.716744,0.200917,0.000283227,2.65176e-05,6.60718e-06
7.3,31.3457,0.721818,0.198262,0.000280347,2.73668e-05,6.81615e-06
7.4,31.5183,0.727044,0.195623,0.000277302,2.81759e-05,7.01447e-06
7.5,31.6904,0.732409,0.193004,0.000274104,2.89764e-05,7.20978e-06
7.6,31.8619,0.737901,0.190404,0.000270771,2.98088e-05,7.41197e-06
7.7,32.0327,0.743513,0.187827,0.000267324,3.07232e-05,7.63314e-06
7.8,32.2026,0.749244,0.185274,0.000263797,3.17783e-05,7.88764e-06
7.9,32.3716,0.755094,0.182745,0.000260812,3.30416e-05,8.19188e-06
8,32.5397,0.761069,0.180241,0.000257792,3.45877e-05,8.56402e-06
8.1,32.7067,0.767179,0.177764,0.000254784,3.64957e-05,9.02334e-06
8.2,32.8727,0.773438,0.175311,0.000251854,3.88444e-05,9.58911e-06
8.3,33.0377,0.779866,0.172884,0.000249121,4.1705e-05,1.02788e-05
8.4,33.2017,0.786482,0.17048,0.000246536,4.51294e-05,1.11053e-05
8.5,33.365,0.79331,0.168098,0.000244138,4.91353e-05,1.20733e-05
8.6,33.5274,0.800373,0.165737,0.000241956,5.36854e-05,1.31745e-05
8.7,33.6893,0.80769,0.163393,0.00024,5.86658e-05,1.4382e-05
8.8,33.8508,0.815276,0.161066,0.00023825,6.38639e-05,1.56452e-05
8.9,34.0119,0.823133,0.158753,0.000236652,6.89565e-05,1.68865e-05
9,34.1726,0.831251,0.156453,0.000235108,7.35151e-05,1.80026e-05
9.1,34.3331,0.839601,0.154168,0.000233481,7.70397e-05,1.88723e-05
9.2,34.4931,0.848134,0.151897,0.0002316,7.90271e-05,1.93724e-05
9.3,34.6524,0.856781,0.149646,0.000229282,7.90652e-05,1.94011e-05
9.4,34.8106,0.865458,0.147419,0.000226355,7.69347e-05,1.89019e-05
9.5,34.9672,0.874068,0.145223,0.000222693,7.26826e-05,1.78833e-05
9.6,35.1216,0.882513,0.143066,0.000218243,6.66376e-05,1.6422e-05
9.7,35.2732,0.890704,0.140955,0.000213035,5.93515e-05,1.46507e-05
9.8,35.4216,0.898564,0.138897,0.000207178,5.14852e-05,1.273e-05
9.9,35.5662,0.90604,0.136899,0.000200843,4.36759e-05,1.08164e-05
10,35.7068,0.9131,0.134963,0.000194231,3.64316e-05,9.03578e-06
10.1,35.8431,0.919736,0.133092,0.000187541,3.0077e-05,7.46972e-06
10.2,35.9752,0.925957,0.131285,0.000180947,2.47542e-05,6.15499e-06
10.3,36.1031,0.931789,0.129541,0.000174585,2.04604e-05,5.09233e-06
10.4,36.2269,0.937265,0.127857,0.000168547,1.70994e-05,4.25914e-06
10.5,36.347,0.942425,0.12623,0.000162884,1.453e-05,3.62128e-06
10.6,36.4634,0.947307,0.124655,0.000157616,1.26017e-05,3.142e-06
10.7,36.5766,0.951951,0.12313,0.00015274,1.11759e-05,2.78721e-06
10.8,36.6866,0.956392,0.12165,0.000148234,1.01356e-05,2.52807e-06
10.9,36.7939,0.960663,0.120212,0.000144073,9.38732e-06,2.3415e-06
11,36.8985,0.964792,0.118813,0.000140223,8.85969e-06,2.20978e-06
11.1,37.0006,0.968804,0.11745,0.000136653,8.49927e-06,2.11967e-06
11.2,37.1005,0.972719,0.11612,0.000133333,8.26683e-06,2.06142e-06
11.3,37.1983,0.976555,0.114822,0.000130236,8.13387e-06,2.02794e-06
11.4,37.2941,0.980328,0.113552,0.000127337,8.07972e-06,2.0141e-06
11.5,37.3881,0.98405,0.11231,0.000124617,8.08943e-06,2.01616e-06
11.6,37.4803,0.987732,0.111094,0.000122057,8.15212e-06,2.03141e-06
11.7,37.5709,0.991383,0.109901,0.000119644,8.25985e-06,2.05789e-06
11.8,37.66,0.995011,0.108731,0.000117365,8.40673e-06,2.09411e-06
11.9,37.7476,0.998624,0.107583,0.00011521,8.5884e-06,2.13899e-06
12,37.8338,1.00223,0.106456,0.00011317,8.80154e-06,2.19171e-06
12.1,37.9187,1.00583,0.105347,0.000111239,9.04362e-06,2.25163e-06
12.2,38.0024,1.00943,0.104257,0.00010941,9.31266e-06,2.31826e-06
12.3,38.0849,1.01303,0.103184,0.000107679,9.60706e-06,2.3912e-06
12.4,38.1663,1.01665,0.102128,0.000106041,9.92554e-06,2.47013e-06
12.5,38.2467,1.02027,0.101087,0.000104494,1.0267e-05,2.55477e-06
12.6,38.3261,1.02392,0.10006,0.000103032,1.06304e-05,2.64488e-06
12.7,38.4046,1.02758,0.0990479,0.000101655,1.1015e-05,2.74024e-06
12.8,38.4822,1.03127,0.0980483,0.000100359,1.14198e-05,2.84064e-06
12.9,38.559,1.03499,0.097061,9.91421e-05,1.18441e-05,2.94589e-06
13,38.635,1.03873,0.0960851,9.80024e-05,1.2287e-05,3.05577e-06
13.1,38.7103,1.04251,0.0951199,9.6938e-05,1.27478e-05,3.17008e-06
13.2,38.785,1.04632,0.0941646,9.60197e-05,1.32255e-05,3.28861e-06
13.3,38.8591,1.05017,0.0932187,9.53106e-05,1.37192e-05,3.41112e-06
13.4,38.9327,1.05405,0.0922812,9.46698e-05,1.4228e-05,3.53736e-06
13.5,39.0058,1.05798,0.0913517,9.40953e-05,1.47506e-05,3.66707e-06
13.6,39.0784,1.06195,0.0904294,9.35851e-05,1.5286e-05,3.79995e-06
13.7,39.1506,1.06597,0.0895136,9.31373e-05,1.5833e-05,3.9357e-06
13.8,39.2225,1.07004,0.0886038,9.27499e-05,1.639e-05,4.07397e-06
13.9,39.2941,1.07415,0.0876993,9.24206e-05,1.69558e-05,4.21441e-06
14,39.3654,1.07832,0.0867994,9.21473e-05,1.75286e-05,4.35662e-06
14.1,39.4365,1.08254,0.0859037,9.19278e-05,1.81068e-05,4.50017e-06
14.2,39.5075,1.08681,0.0850115,9.17596e-05,1.86886e-05,4.64462e-06
14.3,39.5783,1.09114,0.0841223,9.18501e-05,1.92719e-05,4.78948e-06
14.4,39.649,1.09552,0.0832355,9.21724e-05,1.98548e-05,4.93424e-06
14.5,39.7197,1.09996,0.0823506,9.25244e-05,2.04351e-05,5.07836e-06
14.6,39.7905,1.10446,0.0814672,9.29021e-05,2.10105e-05,5.22127e-06
14.7,39.8612,1.10902,0.0805847,9.33012e-05,2.15785e-05,5.36237e-06
14.8,39.9321,1.11364,0.0797027,9.37175e-05,2.21366e-05,5.50105e-06
14.9,40.003,1.11832,0.0788207,9.41465e-05,2.26824e-05,5.63666e-06
15,40.0741,1.12306,0.0779384,9.45834e-05,2.32131e-05,5.76854e-06
15.1,40.1454,1.12786,0.0770553,9.50236e-05,2.37259e-05,5.89602e-06
15.2,40.2168,1.13272,0.0761711,9.5462e-05,2.42183e-05,6.01843e-06
15.3,40.2885,1.13764,0.0752855,9.58936e-05,2.46873e-05,6.13507e-06
15.4,40.3605,1.14263,0.0743981,9.63132e-05,2.51303e-05,6.24525e-06
15.5,40.4328,1.14767,0.0735088,9.67159e-05,2.55445e-05,6.34831e-06
15.6,40.5053,1.15276,0.0726172,9.70962e-05,2.59273e-05,6.44359e-06
15.7,40.5782,1.15792,0.0717232,9.7449e-05,2.62761e-05,6.53044e-06
15.8,40.6514,1.16313,0.0708266,9.77692e-05,2.65884e-05,6.60825e-06
15.9,40.7249,1.1684,0.0699273,9.80516e-05,2.68619e-05,6.67646e-06
16,40.7988,1.17372,0.0690251,9.82913e-05,2.70946e-05,6.73453e-06
