Time,Species.1,Species.2,Species.3
0,0.05,0.05,0.05
0.1,0.0479551,0.0470344,0.0482007
0.2,0.0462574,0.044547,0.0467419
0.3,0.0448319,0.0424317,0.0455512
0.4,0.0436238,0.0406111,0.0445759
0.5,0.0425914,0.0390275,0.0437759
0.6,0.0417028,0.0376373,0.0431206
0.7,0.0409331,0.0364065,0.0425862
0.8,0.0402625,0.0353085,0.0421537
0.9,0.0396752,0.0343223,0.0418079
1,0.039158,0.0334307,0.0415366
1.1,0.0387006,0.03262,0.0413296
1.2,0.0382939,0.0318788,0.0411785
1.3,0.0379306,0.0311978,0.0410762
1.4,0.0376046,0.030569,0.0410169
1.5,0.0373106,0.0299859,0.0409954
1.6,0.0370439,0.0294429,0.0410076
1.7,0.0368009,0.0289354,0.0410496
1.8,0.0365781,0.0284592,0.0411183
1.9,0.0363727,0.028011,0.0412109
2,0.0361821,0.0275878,0.0413249
2.1,0.0360041,0.027187,0.0414582
2.2,0.0358369,0.0268063,0.041609
2.3,0.0356788,0.0264439,0.0417755
2.4,0.0355282,0.026098,0.0419562
2.5,0.0353839,0.0257672,0.0421498
2.6,0.0352447,0.0254502,0.0423552
2.7,0.0351096,0.0251458,0.0425712
2.8,0.0349778,0.0248531,0.0427969
2.9,0.0348484,0.0245711,0.0430314
3,0.0347207,0.024299,0.043274
3.1,0.0345941,0.0240363,0.0435239
3.2,0.0344681,0.0237822,0.0437804
3.3,0.0343422,0.0235363,0.0440431
3.4,0.034216,0.023298,0.0443112
3.5,0.034089,0.0230669,0.0445844
3.6,0.0339611,0.0228426,0.0448621
3.7,0.0338318,0.0226248,0.045144
3.8,0.033701,0.0224132,0.0454296
3.9,0.0335685,0.0222075,0.0457185
4,0.033434,0.0220074,0.0460106
4.1,0.0332975,0.0218127,0.0463053
4.2,0.0331588,0.0216233,0.0466025
4.3,0.0330177,0.0214389,0.0469018
4.4,0.0328743,0.0212593,0.047203
4.5,0.0327285,0.0210845,0.0475059
4.6,0.0325801,0.0209143,0.0478102
4.7,0.0324292,0.0207485,0.0481157
4.8,0.0322758,0.020587,0.0484222
4.9,0.0321198,0.0204298,0.0487295
5,0.0319613,0.0202768,0.0490375
5.1,0.0318002,0.0201277,0.0493459
5.2,0.0316366,0.0199827,0.0496546
5.3,0.0314706,0.0198415,0.0499634
5.4,0.0313021,0.0197041,0.0502722
5.5,0.0311312,0.0195705,0.0505809
5.6,0.0309579,0.0194406,0.0508893
5.7,0.0307824,0.0193143,0.0511972
5.8,0.0306046,0.0191916,0.0515045
5.9,0.0304247,0.0190724,0.0518112
6,0.0302427,0.0189567,0.0521171
6.1,0.0300586,0.0188444,0.0524221
6.2,0.0298726,0.0187354,0.052726
6.3,0.0296847,0.0186298,0.0530288
6.4,0.029495,0.0185275,0.0533304
6.5,0.0293036,0.0184285,0.0536307
6.6,0.0291106,0.0183326,0.0539295
6.7,0.028916,0.0182399,0.0542268
6.8,0.0287199,0.0181504,0.0545225
6.9,0.0285224,0.0180639,0.0548165
7,0.0283236,0.0179805,0.0551087
7.1,0.0281236,0.0179002,0.0553991
7.2,0.0279224,0.0178228,0.0556875
7.3,0.0277202,0.0177484,0.055974
7.4,0.027517,0.017677,0.0562583
7.5,0.027313,0.0176085,0.0565405
7.6,0.0271081,0.0175428,0.0568204
7.7,0.0269024,0.01748,0.0570981
7.8,0.0266962,0.01742,0.0573734
7.9,0.0264893,0.0173628,0.0576462
8,0.026282,0.0173084,0.0579166
8.1,0.0260742,0.0172567,0.0581845
8.2,0.0258661,0.0172078,0.0584497
8.3,0.0256577,0.0171615,0.0587123
8.4,0.0254491,0.0171179,0.0589722
8.5,0.0252405,0.0170769,0.0592293
8.6,0.0250317,0.0170386,0.0594836
8.7,0.024823,0.0170029,0.0597351
8.8,0.0246144,0.0169697,0.0599837
8.9,0.0244059,0.0169391,0.0602293
9,0.0241976,0.0169111,0.060472
9.1,0.0239896,0.0168855,0.0607116
9.2,0.023782,0.0168625,0.0609481
9.3,0.0235747,0.0168419,0.0611816
9.4,0.0233679,0.0168237,0.0614119
9.5,0.0231616,0.016808,0.061639
9.6,0.0229559,0.0167948,0.0618629
9.7,0.0227508,0.0167839,0.0620836
9.8,0.0225464,0.0167754,0.062301
9.9,0.0223428,0.0167693,0.0625152
10,0.0221398,0.0167655,0.062726
10.1,0.0219377,0.016764,0.0629334
10.2,0.0217365,0.0167649,0.0631375
10.3,0.0215362,0.0167681,0.0633382
10.4,0.0213368,0.0167735,0.0635355
10.5,0.0211385,0.0167812,0.0637293
10.6,0.0209411,0.0167912,0.0639197
10.7,0.0207448,0.0168034,0.0641066
10.8,0.0205497,0.0168179,0.06429
10.9,0.0203556,0.0168346,0.0644699
11,0.0201628,0.0168534,0.0646463
11.1,0.0199711,0.0168745,0.0648191
11.2,0.0197807,0.0168978,0.0649884
11.3,0.0195915,0.0169232,0.0651541
11.4,0.0194036,0.0169508,0.0653163
11.5,0.0192171,0.0169805,0.0654749
11.6,0.0190319,0.0170124,0.0656299
11.7,0.018848,0.0170464,0.0657813
11.8,0.0186655,0.0170825,0.065929
11.9,0.0184845,0.0171207,0.0660732
12,0.0183049,0.017161,0.0662138
12.1,0.0181267,0.0172034,0.0663508
12.2,0.0179499,0.0172479,0.0664841
12.3,0.0177747,0.0172945,0.0666138
12.4,0.0176009,0.0173431,0.0667399
12.5,0.0174287,0.0173938,0.0668623
12.6,0.017258,0.0174466,0.0669812
12.7,0.0170888,0.0175014,0.0670964
12.8,0.0169211,0.0175582,0.0672079
12.9,0.0167551,0.017617,0.0673159
13,0.0165905,0.0176779,0.0674202
13.1,0.0164276,0.0177408,0.067521
13.2,0.0162662,0.0178057,0.0676181
13.3,0.0161064,0.0178725,0.0677116
13.4,0.0159482,0.0179414,0.0678014
13.5,0.0157917,0.0180123,0.0678877
13.6,0.0156367,0.0180852,0.0679704
13.7,0.0154833,0.01816,0.0680495
13.8,0.0153315,0.0182368,0.0681251
13.9,0.0151813,0.0183156,0.068197
14,0.0150328,0.0183963,0.0682654
14.1,0.0148858,0.018479,0.0683302
14.2,0.0147405,0.0185637,0.0683915
14.3,0.0145968,0.0186503,0.0684492
14.4,0.0144546,0.0187388,0.0685035
14.5,0.0143141,0.0188293,0.0685541
14.6,0.0141752,0.0189217,0.0686013
14.7,0.014038,0.019016,0.068645
14.8,0.0139023,0.0191123,0.0686852
14.9,0.0137682,0.0192104,0.0687219
15,0.0136357,0.0193105,0.0687551
15.1,0.0135047,0.0194125,0.0687849
15.2,0.0133754,0.0195164,0.0688113
15.3,0.0132477,0.0196222,0.0688342
15.4,0.0131215,0.0197298,0.0688537
15.5,0.0129969,0.0198394,0.0688698
15.6,0.0128738,0.0199508,0.0688825
15.7,0.0127523,0.0200641,0.0688918
15.8,0.0126323,0.0201793,0.0688978
15.9,0.0125139,0.0202963,0.0689004
16,0.012397,0.0204152,0.0688997
