Time,Species.1,Species.2,Species.3,Species.4,Species.5,Species.6,Species.7
0,31.6228,7.24436,3.46737,1.44544,0.933254,0.933254,1.20226
0.1,24.2452,6.44077,3.15715,1.14829,0.707002,0.851032,0.89799
0.2,24.2425,5.76543,2.86049,0.901521,0.498271,0.77187,0.827381
0.3,24.2425,5.24425,2.60459,0.716546,0.370284,0.703176,0.812198
0.4,24.2425,4.83038,2.38179,0.575549,0.288233,0.64307,0.807961
0.5,24.2425,4.49421,2.18626,0.46652,0.231979,0.590097,0.806066
0.6,24.2425,4.21611,2.01343,0.381157,0.191218,0.543111,0.804682
0.7,24.2425,3.98253,1.85971,0.313593,0.160408,0.501199,0.803428
0.8,24.2425,3.78383,1.72222,0.259605,0.136358,0.463624,0.802235
0.9,24.2425,3.61299,1.59865,0.216098,0.117113,0.429784,0.801097
1,24.2425,3.46471,1.48709,0.180772,0.101407,0.399185,0.800021
1.1,24.2425,3.33499,1.38595,0.151893,0.0883857,0.371413,0.799009
1.2,24.2425,3.22069,1.29394,0.128142,0.0774522,0.346124,0.798063
1.3,24.2425,3.11937,1.20996,0.1085,0.0681743,0.323024,0.797184
1.4,24.2425,3.02904,1.13306,0.0921737,0.060232,0.301866,0.796369
1.5,24.2425,2.94813,1.06245,0.0785426,0.0533828,0.282438,0.795617
1.6,24.2425,2.87534,0.997465,0.0671139,0.0474396,0.264556,0.794924
1.7,24.2425,2.80958,0.937505,0.0574952,0.0422549,0.248061,0.794287
1.8,24.2425,2.74998,0.882065,0.0493715,0.0377115,0.232816,0.793703
1.9,24.2425,2.69577,0.8307,0.042488,0.0337145,0.218701,0.79317
2,24.2425,2.64633,0.783024,0.0366382,0.0301862,0.205609,0.792683
2.1,24.2425,2.60111,0.738695,0.0316529,0.0270625,0.193447,0.79224
2.2,24.2425,2.55966,0.697413,0.0273935,0.0242899,0.182133,0.791837
2.3,24.2425,2.52157,0.65891,0.0237458,0.0218235,0.171593,0.791473
2.4,24.2425,2.48651,0.62295,0.0206148,0.0196252,0.161761,0.791144
2.5,24.2425,2.45416,0.589322,0.0179219,0.0176624,0.15258,0.790848
2.6,24.2425,2.42426,0.557835,0.0156013,0.0159072,0.143997,0.790582
2.7,24.2425,2.39659,0.528321,0.0135979,0.0143355,0.135964,0.790345
2.8,24.2425,2.37094,0.500625,0.0118655,0.0129265,0.128439,0.790134
2.9,24.2425,2.34714,0.474611,0.010365,0.011662,0.121384,0.789947
3,24.2425,2.32501,0.450153,0.0090635,0.010526,0.114763,0.789783
3.1,24.2425,2.30442,0.427138,0.007933,0.00950476,0.108545,0.789639
3.2,24.2425,2.28523,0.405463,0.00694975,0.00858586,0.102702,0.789515
3.3,24.2425,2.26734,0.385033,0.00609354,0.00775852,0.0972056,0.789409
3.4,24.2425,2.25064,0.365763,0.00534707,0.00701316,0.092033,0.789319
3.5,24.2425,2.23504,0.347575,0.00469559,0.00634127,0.087162,0.789245
3.6,24.2425,2.22045,0.330396,0.00412641,0.00573532,0.0825722,0.789184
3.7,24.2425,2.2068,0.314161,0.00362866,0.00518858,0.078245,0.789136
3.8,24.2425,2.19401,0.298808,0.00319298,0.00469507,0.0741633,0.7891
3.9,24.2425,2.18203,0.284282,0.00281129,0.00424943,0.0703112,0.789076
4,24.2425,2.17079,0.270532,0.00247664,0.00384688,0.0666742,0.789061
4.1,24.2425,2.16024,0.257508,0.00218299,0.00348313,0.0632387,0.789055
4.2,24.2425,2.15034,0.245167,0.00192515,0.00315436,0.0599923,0.789057
4.3,24.2425,2.14104,0.233468,0.00169857,0.0028571,0.0569233,0.789067
4.4,24.2425,2.1323,0.222373,0.00149935,0.00258829,0.054021,0.789085
4.5,24.2425,2.12408,0.211846,0.00132407,0.00234513,0.0512753,0.789108
4.6,24.2425,2.11635,0.201855,0.00116975,0.00212513,0.048677,0.789138
4.7,24.2425,2.10907,0.192369,0.00103383,0.00192605,0.0462174,0.789172
4.8,24.2425,2.10222,0.18336,0.000914041,0.00174585,0.0438883,0.789211
4.9,24.2425,2.09577,0.174799,0.000808416,0.00158272,0.0416823,0.789255
5,24.2425,2.08969,0.166664,0.000715235,0.00143502,0.0395923,0.789302
5.1,24.2425,2.08396,0.15893,0.000632996,0.00130126,0.0376117,0.789353
5.2,24.2425,2.07855,0.151575,0.000560382,0.0011801,0.0357343,0.789406
5.3,24.2425,2.07346,0.144579,0.000496241,0.00107036,0.0339543,0.789463
